"","test","step","rows","cols","human","zombie","immune"
"a799","Test 79",9,100,100,307,1,9692
"a7910","Test 79",10,100,100,307,1,9692
"a7911","Test 79",11,100,100,307,1,9692
"a7912","Test 79",12,100,100,307,1,9692
"a7913","Test 79",13,100,100,307,1,9692
"a7914","Test 79",14,100,100,307,1,9692
"a7915","Test 79",15,100,100,307,1,9692
"a7916","Test 79",16,100,100,306,2,9692
"a7917","Test 79",17,100,100,306,2,9692
"a7918","Test 79",18,100,100,306,2,9692
"a7919","Test 79",19,100,100,306,2,9692
"a7920","Test 79",20,100,100,306,2,9692
"a7921","Test 79",21,100,100,306,2,9692
"a7922","Test 79",22,100,100,306,2,9692
"a7923","Test 79",23,100,100,304,4,9692
"a7924","Test 79",24,100,100,304,4,9692
"a7925","Test 79",25,100,100,304,4,9692
"a7926","Test 79",26,100,100,304,4,9692
